"country","avg_happiness_score","avg_gdp_per_capita","avg_social_support","avg_life_expectancy","avg_freedom","avg_government_trust","avg_generosity","num_years","rank"
"Burkina Faso",4.07380001296997,0.31465954271698,0.935740001091004,0.266812851733208,0.323999570203781,0.122995621197224,0.212772936916351,5,149
"Uganda",4.02019997024536,0.318728143064499,1.06632554756165,0.286498521325111,0.428597191057205,0.0630319437675476,0.279689211355209,5,150
"Zimbabwe",4.0066,0.344051306993484,1.007727181633,0.274402750778198,0.323256841402054,0.0899970762820244,0.169408698754311,5,151
"Chad",4.00340002174377,0.382016597475052,0.803851174430847,0.0948949430160522,0.177684405365944,0.0587583764536381,0.193128770094872,5,152
"Comoros",3.96166666666667,0.262716666666667,0.717653333333333,0.38932,0.175096666666667,0.15379,0.210703333333333,3,153
"Benin",3.90100001296997,0.376745081546783,0.340469968709946,0.275262042261124,0.419386555189133,0.0713678030557632,0.186069692234993,5,154
"Malawi",3.88300000572205,0.142714407659531,0.434381766288757,0.327069916679382,0.457150930755615,0.077424330801487,0.271226093952179,5,155
"Angola",3.87225001907349,0.798379545054436,0.938367989912033,0.133902166408896,0.0274325,0.0715700838261843,0.105269122502208,4,156
"Haiti",3.86559998512268,0.322862052574158,0.616215964389801,0.335746226007462,0.08926797146523,0.126076429905415,0.448330756177902,5,157
"Guinea",3.85359999389648,0.273373986019135,0.637578937129974,0.24170182783699,0.352273502593994,0.106305523543835,0.248505018417358,5,158
"Liberia",3.83919999847412,0.0892603586096764,0.789065587322235,0.302715639359474,0.332934236486435,0.0425576498143673,0.237959977054596,5,159
"Botswana",3.83000000648499,1.05358083087158,1.10741099891663,0.338407101875305,0.490607266586304,0.104602639816761,0.079041689643383,5,160
"Madagascar",3.74540001068115,0.265917738634109,0.773236074478149,0.43410466176033,0.177375353084564,0.0627063950991631,0.193292506094933,5,161
"Yemen",3.62579998703003,0.489312689472198,0.865448449394226,0.365440183137894,0.244174744421959,0.0670454845411777,0.0969290418305398,5,162
"Togo",3.54419997711182,0.265870943481445,0.323566506090164,0.288529113729477,0.36374722772789,0.100969003056049,0.17477523014164,5,163
"Afghanistan",3.51279998207092,0.357113443534851,0.409752665275574,0.254707355769157,0.117923904097557,0.0580935660119057,0.267730186515808,5,164
"Tanzania",3.46599999542236,0.439777175235748,0.939379960662842,0.396731856899261,0.38687955553627,0.083699021355629,0.311749272344589,5,165
"Rwanda",3.4385999912262,0.322057178647995,0.788453404628754,0.417542961462021,0.581610770599365,0.473468002771378,0.226311205873489,5,166
"South Sudan",3.38250002002716,0.358547156438828,0.492378281936646,0.198324000968933,0.116420608936548,0.110985878324509,0.242665204224587,4,167
"Syria",3.2921999786377,0.699108626869202,0.355930521450043,0.56628066847229,0.0816998889250755,0.159547426107407,0.43128474564743,5,168
"Central African Republic",3.13425001955032,0.032125,0,0.0501906714750826,0.322408011386395,0.0531137690281868,0.243056621873379,4,169
"Burundi",3.07899999427795,0.062446513733387,0.470816716869354,0.211608158336639,0.101320150640011,0.106991589009285,0.185921036919594,5,170
